Device: xGravity,Device: yGravity,Device: zGravity,Device: xAcceleration,Device: yAcceleration,Device: zAcceleration,Device: pitch,Device: roll,Device: yaw,Device: xRotationRate,Device: yRotationRate,Device: zRotationRate,exerciseType,exerciseSubType,timeStampSaved,individual
-0.16,-0.98,-0.09,-0.0,-0.01,-0.0,1.39,-1.05,0.9,-0.01,0.05,0.01,setBreak,setBreak,2017-04-28 08:30:43:011,3
-0.16,-0.98,-0.09,0.0,-0.01,-0.0,1.39,-1.04,0.9,-0.01,0.04,0.02,setBreak,setBreak,2017-04-28 08:30:43:069,3
-0.16,-0.98,-0.09,0.0,-0.01,-0.01,1.39,-1.04,0.9,-0.0,0.02,0.02,setBreak,setBreak,2017-04-28 08:30:43:168,3
-0.16,-0.98,-0.09,0.0,-0.01,-0.0,1.38,-1.04,0.9,0.0,0.01,0.03,setBreak,setBreak,2017-04-28 08:30:43:268,3
-0.16,-0.98,-0.1,0.0,-0.01,-0.01,1.38,-1.03,0.9,0.01,0.0,0.03,setBreak,setBreak,2017-04-28 08:30:43:368,3
-0.16,-0.98,-0.1,0.0,-0.01,-0.0,1.38,-1.03,0.9,-0.0,-0.04,0.02,setBreak,setBreak,2017-04-28 08:30:43:469,3
-0.16,-0.98,-0.1,-0.0,-0.01,-0.01,1.38,-1.03,0.89,0.0,-0.0,0.01,setBreak,setBreak,2017-04-28 08:30:43:568,3
-0.16,-0.98,-0.1,0.01,-0.01,-0.0,1.38,-1.03,0.9,0.01,-0.05,-0.0,setBreak,setBreak,2017-04-28 08:30:43:668,3
-0.16,-0.98,-0.1,0.0,-0.01,-0.01,1.38,-1.03,0.89,0.0,-0.04,-0.0,setBreak,setBreak,2017-04-28 08:30:43:768,3
-0.16,-0.98,-0.1,0.01,-0.02,-0.01,1.38,-1.03,0.88,-0.02,-0.06,-0.01,setBreak,setBreak,2017-04-28 08:30:43:868,3
-0.16,-0.98,-0.1,0.0,-0.01,-0.01,1.38,-1.01,0.87,-0.02,-0.05,0.0,setBreak,setBreak,2017-04-28 08:30:43:968,3
-0.16,-0.98,-0.1,-0.0,-0.01,-0.0,1.38,-0.99,0.84,-0.02,-0.02,0.0,setBreak,setBreak,2017-04-28 08:30:44:069,3
-0.16,-0.98,-0.1,0.0,-0.01,0.01,1.38,-1.0,0.84,-0.01,-0.01,-0.0,setBreak,setBreak,2017-04-28 08:30:44:169,3
-0.16,-0.98,-0.1,0.0,-0.01,-0.01,1.38,-1.0,0.84,-0.0,-0.02,0.01,setBreak,setBreak,2017-04-28 08:30:44:271,3
-0.16,-0.98,-0.1,-0.0,-0.01,0.0,1.38,-1.0,0.84,0.0,0.03,0.0,setBreak,setBreak,2017-04-28 08:30:44:371,3
-0.16,-0.98,-0.1,0.0,-0.01,0.0,1.38,-1.0,0.84,-0.01,0.01,0.0,setBreak,setBreak,2017-04-28 08:30:44:471,3
-0.16,-0.98,-0.1,0.01,-0.01,0.0,1.38,-1.0,0.85,-0.01,-0.01,0.01,setBreak,setBreak,2017-04-28 08:30:44:571,3
-0.16,-0.98,-0.1,-0.0,-0.01,0.01,1.38,-1.0,0.85,-0.01,0.01,-0.0,setBreak,setBreak,2017-04-28 08:30:44:671,3
-0.16,-0.98,-0.1,-0.0,-0.01,0.01,1.38,-1.01,0.86,0.0,0.01,-0.01,setBreak,setBreak,2017-04-28 08:30:44:769,3
-0.16,-0.98,-0.1,-0.01,-0.02,0.01,1.39,-1.01,0.86,-0.01,0.06,-0.02,setBreak,setBreak,2017-04-28 08:30:44:869,3
-0.16,-0.98,-0.1,-0.01,-0.01,0.01,1.38,-1.0,0.86,-0.02,0.1,0.03,setBreak,setBreak,2017-04-28 08:30:44:970,3
-0.16,-0.98,-0.1,0.01,-0.0,-0.0,1.38,-1.01,0.87,-0.03,0.02,0.11,setBreak,setBreak,2017-04-28 08:30:45:069,3
-0.17,-0.98,-0.1,0.02,0.01,-0.0,1.37,-1.02,0.88,0.03,-0.12,0.1,setBreak,setBreak,2017-04-28 08:30:45:169,3
-0.17,-0.98,-0.1,0.0,-0.01,-0.0,1.37,-1.06,0.91,0.1,-0.01,-0.01,setBreak,setBreak,2017-04-28 08:30:45:270,3
-0.16,-0.98,-0.09,0.0,-0.01,-0.0,1.38,-1.09,0.95,0.08,0.02,-0.07,setBreak,setBreak,2017-04-28 08:30:45:371,3
-0.16,-0.98,-0.08,-0.01,-0.02,-0.0,1.39,-1.09,0.95,0.02,0.03,-0.05,setBreak,setBreak,2017-04-28 08:30:45:471,3
-0.16,-0.98,-0.08,-0.0,-0.02,-0.0,1.39,-1.08,0.94,-0.02,-0.01,0.01,setBreak,setBreak,2017-04-28 08:30:45:571,3
-0.16,-0.98,-0.09,0.01,-0.01,0.0,1.39,-1.08,0.94,-0.02,-0.09,0.06,setBreak,setBreak,2017-04-28 08:30:45:671,3
-0.16,-0.98,-0.09,-0.0,-0.01,-0.0,1.39,-1.08,0.94,0.0,0.05,0.01,setBreak,setBreak,2017-04-28 08:30:45:774,3
-0.16,-0.98,-0.09,-0.0,-0.01,0.01,1.39,-1.09,0.95,0.01,0.06,-0.01,setBreak,setBreak,2017-04-28 08:30:45:871,3
-0.16,-0.98,-0.09,0.0,-0.01,0.0,1.39,-1.08,0.96,0.01,0.08,-0.01,setBreak,setBreak,2017-04-28 08:30:45:972,3
-0.16,-0.98,-0.08,0.01,-0.01,-0.0,1.39,-1.09,0.97,0.01,0.01,0.01,setBreak,setBreak,2017-04-28 08:30:46:072,3
-0.16,-0.98,-0.08,-0.0,-0.01,-0.0,1.39,-1.09,0.97,-0.01,0.02,0.02,setBreak,setBreak,2017-04-28 08:30:46:171,3
-0.16,-0.98,-0.08,0.01,-0.01,0.0,1.39,-1.09,0.97,-0.01,-0.0,0.01,setBreak,setBreak,2017-04-28 08:30:46:271,3
-0.16,-0.98,-0.08,0.0,-0.0,0.0,1.39,-1.09,0.97,-0.0,-0.01,0.01,setBreak,setBreak,2017-04-28 08:30:46:371,3
-0.16,-0.98,-0.08,0.01,-0.01,0.0,1.39,-1.1,0.97,0.0,-0.06,0.02,setBreak,setBreak,2017-04-28 08:30:46:470,3
-0.16,-0.98,-0.08,0.0,-0.01,0.0,1.39,-1.11,0.98,0.01,-0.05,-0.0,setBreak,setBreak,2017-04-28 08:30:46:571,3
-0.16,-0.98,-0.08,-0.0,-0.01,-0.0,1.39,-1.12,0.99,0.01,-0.05,-0.02,setBreak,setBreak,2017-04-28 08:30:46:671,3
-0.16,-0.98,-0.08,-0.01,-0.01,-0.0,1.39,-1.12,0.99,0.0,-0.01,-0.02,setBreak,setBreak,2017-04-28 08:30:46:771,3
-0.16,-0.98,-0.08,0.0,-0.01,-0.0,1.39,-1.11,0.97,-0.02,-0.02,-0.02,setBreak,setBreak,2017-04-28 08:30:46:871,3
-0.16,-0.98,-0.08,-0.01,-0.01,-0.0,1.39,-1.1,0.96,-0.04,-0.02,-0.0,setBreak,setBreak,2017-04-28 08:30:46:971,3
-0.16,-0.98,-0.09,0.0,-0.01,0.0,1.39,-1.08,0.94,-0.03,-0.03,0.0,setBreak,setBreak,2017-04-28 08:30:47:071,3
-0.16,-0.98,-0.09,-0.0,-0.01,0.01,1.39,-1.08,0.93,-0.01,0.02,-0.02,setBreak,setBreak,2017-04-28 08:30:47:170,3
-0.16,-0.98,-0.09,-0.0,-0.0,0.0,1.39,-1.07,0.94,0.01,0.1,-0.02,setBreak,setBreak,2017-04-28 08:30:47:270,3
-0.15,-0.99,-0.09,0.02,-0.01,-0.01,1.4,-1.05,0.91,0.04,-0.32,-0.13,setBreak,setBreak,2017-04-28 08:30:47:371,3
-0.15,-0.99,-0.07,0.01,0.07,-0.06,1.41,-1.1,0.91,0.07,-0.53,0.06,setBreak,setBreak,2017-04-28 08:30:47:471,3
-0.15,-0.99,-0.07,-0.01,-0.12,-0.1,1.4,-1.17,0.95,0.03,-0.49,-0.12,setBreak,setBreak,2017-04-28 08:30:47:571,3
-0.13,-0.99,-0.07,-0.15,0.04,-0.03,1.42,-1.1,0.86,0.05,0.43,-0.27,setBreak,setBreak,2017-04-28 08:30:47:672,3
-0.11,-0.99,-0.06,-0.12,0.07,0.02,1.45,-1.08,0.92,0.2,0.57,-0.18,setBreak,setBreak,2017-04-28 08:30:47:771,3
-0.08,-1.0,-0.04,-0.02,0.05,-0.09,1.48,-1.09,0.97,0.18,0.76,-0.33,setBreak,setBreak,2017-04-28 08:30:47:871,3
-0.06,-1.0,-0.04,-0.05,-0.1,0.01,1.5,-0.95,0.93,0.0,1.12,-0.17,setBreak,setBreak,2017-04-28 08:30:47:972,3
-0.06,-1.0,-0.05,0.05,0.04,0.07,1.5,-0.88,0.92,-0.1,0.48,0.25,setBreak,setBreak,2017-04-28 08:30:48:070,3
-0.09,-0.99,-0.06,0.16,-0.09,0.07,1.46,-1.0,1.04,-0.16,-0.67,0.43,setBreak,setBreak,2017-04-28 08:30:48:171,3
-0.11,-0.99,-0.07,0.12,-0.02,0.05,1.44,-1.0,0.96,-0.28,-1.08,0.44,setBreak,setBreak,2017-04-28 08:30:48:271,3
-0.15,-0.99,-0.08,0.03,-0.04,0.14,1.4,-1.06,0.87,-0.23,-0.89,0.03,setBreak,setBreak,2017-04-28 08:30:48:372,3
-0.13,-0.98,-0.12,-0.3,-0.01,0.07,1.39,-0.86,0.77,-0.16,3.06,-0.14,setBreak,setBreak,2017-04-28 08:30:48:471,3
-0.09,-0.98,-0.15,0.03,-0.04,0.22,1.4,-0.56,0.73,0.09,1.7,-0.03,setBreak,setBreak,2017-04-28 08:30:48:570,3
-0.1,-0.99,-0.13,0.23,-0.02,0.19,1.4,-0.65,0.82,0.17,-1.25,0.15,setBreak,setBreak,2017-04-28 08:30:48:669,3
-0.13,-0.99,-0.09,0.16,-0.1,0.07,1.41,-0.96,0.96,0.32,-2.02,-0.0,setBreak,setBreak,2017-04-28 08:30:48:771,3
-0.1,-0.99,-0.03,-0.23,-0.0,-0.24,1.47,-1.32,1.28,0.41,1.86,-0.28,setBreak,setBreak,2017-04-28 08:30:48:869,3
-0.11,-0.99,-0.06,0.07,-0.11,-0.15,1.45,-1.05,1.13,-0.75,-0.09,0.2,setBreak,setBreak,2017-04-28 08:30:48:973,3
-0.14,-0.98,-0.11,-0.01,0.05,-0.16,1.39,-0.89,0.81,-0.79,-1.46,0.13,setBreak,setBreak,2017-04-28 08:30:49:071,3
-0.15,-0.97,-0.17,-0.19,0.12,0.03,1.34,-0.71,0.57,-0.38,-0.49,-0.12,setBreak,setBreak,2017-04-28 08:30:49:170,3
-0.12,-0.98,-0.18,-0.19,0.06,0.01,1.35,-0.61,0.47,0.23,0.72,-0.38,setBreak,setBreak,2017-04-28 08:30:49:269,3
-0.07,-0.99,-0.15,-0.03,0.08,-0.12,1.41,-0.42,0.38,0.48,0.8,-0.42,setBreak,setBreak,2017-04-28 08:30:49:370,3
-0.04,-0.99,-0.11,0.08,-0.04,-0.17,1.45,-0.34,0.3,0.16,-0.93,0.02,setBreak,setBreak,2017-04-28 08:30:49:470,3
-0.08,-0.99,-0.12,-0.1,0.02,-0.11,1.43,-0.58,0.43,-0.19,-0.66,0.28,setBreak,setBreak,2017-04-28 08:30:49:570,3
-0.1,-0.99,-0.12,-0.05,0.08,-0.07,1.41,-0.7,0.52,0.15,-0.37,0.16,setBreak,setBreak,2017-04-28 08:30:49:671,3
-0.11,-0.99,-0.09,-0.03,-0.0,-0.09,1.43,-0.88,0.66,0.27,-0.43,-0.12,setBreak,setBreak,2017-04-28 08:30:49:769,3
-0.09,-0.99,-0.06,-0.03,0.06,-0.09,1.46,-0.99,0.72,0.25,-0.43,-0.23,setBreak,setBreak,2017-04-28 08:30:49:869,3
-0.08,-1.0,-0.05,-0.11,0.0,-0.06,1.47,-1.04,0.73,0.24,-0.31,-0.3,setBreak,setBreak,2017-04-28 08:30:49:973,3
